Train Acc.: 0.8630 | Test Acc.: 0.8586
Epoch: 102/200   | Learning Rate 0.000900
Train Auc.: 0.9371 | Test Auc.: 0.9332
Train Loss.: 0.1204 | Test Loss.: 0.1236
Train Acc.: 0.8517 | Test Acc.: 0.8446
Epoch: 103/200   | Learning Rate 0.000900
Train Auc.: 0.9402 | Test Auc.: 0.9359
Train Loss.: 0.1218 | Test Loss.: 0.1252
Train Acc.: 0.8502 | Test Acc.: 0.8442
Epoch: 104/200   | Learning Rate 0.000900
Train Auc.: 0.9377 | Test Auc.: 0.9326
Train Loss.: 0.1080 | Test Loss.: 0.1120
Train Acc.: 0.8636 | Test Acc.: 0.8552
Epoch: 105/200   | Learning Rate 0.000900
Train Auc.: 0.9334 | Test Auc.: 0.9289
Train Loss.: 0.1123 | Test Loss.: 0.1154
Train Acc.: 0.8582 | Test Acc.: 0.8528
Epoch: 106/200   | Learning Rate 0.000900
Train Auc.: 0.9309 | Test Auc.: 0.9266
Train Loss.: 0.1365 | Test Loss.: 0.1402
Train Acc.: 0.8236 | Test Acc.: 0.8183
Epoch: 107/200   | Learning Rate 0.000900
Train Auc.: 0.9359 | Test Auc.: 0.9310
Train Loss.: 0.1130 | Test Loss.: 0.1163
Train Acc.: 0.8514 | Test Acc.: 0.8433
Epoch: 108/200   | Learning Rate 0.000900
Train Auc.: 0.9378 | Test Auc.: 0.9341
Train Loss.: 0.1148 | Test Loss.: 0.1173
Train Acc.: 0.8582 | Test Acc.: 0.8530
Epoch: 109/200   | Learning Rate 0.000900
Train Auc.: 0.9387 | Test Auc.: 0.9348
Train Loss.: 0.1130 | Test Loss.: 0.1162
Train Acc.: 0.8624 | Test Acc.: 0.8541
Epoch: 110/200   | Learning Rate 0.000900
Train Auc.: 0.9384 | Test Auc.: 0.9354
Train Loss.: 0.1114 | Test Loss.: 0.1141
Train Acc.: 0.8624 | Test Acc.: 0.8571
Epoch: 111/200   | Learning Rate 0.000900
Train Auc.: 0.9365 | Test Auc.: 0.9328
Train Loss.: 0.1102 | Test Loss.: 0.1133
Train Acc.: 0.8620 | Test Acc.: 0.8569
Epoch: 112/200   | Learning Rate 0.000900
