Train Auc.: 0.9431 | Test Auc.: 0.9412
Train Loss.: 0.1033 | Test Loss.: 0.1054
Train Acc.: 0.8682 | Test Acc.: 0.8637
Epoch: 125/200   | Learning Rate 0.000900
Train Auc.: 0.9413 | Test Auc.: 0.9398
Train Loss.: 0.1054 | Test Loss.: 0.1074
Train Acc.: 0.8641 | Test Acc.: 0.8647
Epoch: 126/200   | Learning Rate 0.000900
Train Auc.: 0.9431 | Test Auc.: 0.9392
Train Loss.: 0.1059 | Test Loss.: 0.1093
Train Acc.: 0.8664 | Test Acc.: 0.8596
Epoch: 127/200   | Learning Rate 0.000900
Train Auc.: 0.9452 | Test Auc.: 0.9436
Train Loss.: 0.1016 | Test Loss.: 0.1035
Train Acc.: 0.8717 | Test Acc.: 0.8691
Epoch: 128/200   | Learning Rate 0.000900
Train Auc.: 0.9453 | Test Auc.: 0.9432
Train Loss.: 0.1018 | Test Loss.: 0.1044
Train Acc.: 0.8734 | Test Acc.: 0.8697
Epoch: 129/200   | Learning Rate 0.000900
Train Auc.: 0.9441 | Test Auc.: 0.9423
Train Loss.: 0.1020 | Test Loss.: 0.1043
Train Acc.: 0.8726 | Test Acc.: 0.8666
Epoch: 130/200   | Learning Rate 0.000900
Train Auc.: 0.9431 | Test Auc.: 0.9393
Train Loss.: 0.1037 | Test Loss.: 0.1068
Train Acc.: 0.8689 | Test Acc.: 0.8634
Epoch: 131/200   | Learning Rate 0.000900
Train Auc.: 0.9440 | Test Auc.: 0.9421
Train Loss.: 0.1039 | Test Loss.: 0.1057
Train Acc.: 0.8711 | Test Acc.: 0.8684
Epoch: 132/200   | Learning Rate 0.000900
Train Auc.: 0.9439 | Test Auc.: 0.9438
Train Loss.: 0.1023 | Test Loss.: 0.1034
Train Acc.: 0.8687 | Test Acc.: 0.8688
Epoch: 133/200   | Learning Rate 0.000900
Train Auc.: 0.9428 | Test Auc.: 0.9408
Train Loss.: 0.1037 | Test Loss.: 0.1059
Train Acc.: 0.8711 | Test Acc.: 0.8675
Epoch: 134/200   | Learning Rate 0.000900
Train Auc.: 0.9423 | Test Auc.: 0.9394
Train Loss.: 0.1045 | Test Loss.: 0.1073
Train Acc.: 0.8640 | Test Acc.: 0.8599
Epoch: 135/200   | Learning Rate 0.000900
Train Auc.: 0.9441 | Test Auc.: 0.9413
