Train Auc.: 0.9243 | Test Auc.: 0.9210
Train Loss.: 0.2229 | Test Loss.: 0.2262
Train Acc.: 0.6974 | Test Acc.: 0.6941
Epoch: 108/200   | Learning Rate 0.000900
Train Auc.: 0.8977 | Test Auc.: 0.8927
Train Loss.: 0.1962 | Test Loss.: 0.2012
Train Acc.: 0.6954 | Test Acc.: 0.6898
Epoch: 109/200   | Learning Rate 0.000900
Train Auc.: 0.8984 | Test Auc.: 0.8945
Train Loss.: 0.1559 | Test Loss.: 0.1583
Train Acc.: 0.8104 | Test Acc.: 0.7994
Epoch: 110/200   | Learning Rate 0.000900
Train Auc.: 0.9125 | Test Auc.: 0.9104
Train Loss.: 0.1409 | Test Loss.: 0.1421
Train Acc.: 0.8330 | Test Acc.: 0.8302
Epoch: 111/200   | Learning Rate 0.000900
Train Auc.: 0.9263 | Test Auc.: 0.9225
Train Loss.: 0.1833 | Test Loss.: 0.1835
Train Acc.: 0.6845 | Test Acc.: 0.6858
Epoch: 112/200   | Learning Rate 0.000900
Train Auc.: 0.8894 | Test Auc.: 0.8812
Train Loss.: 0.1967 | Test Loss.: 0.1977
Train Acc.: 0.6772 | Test Acc.: 0.6771
Epoch: 113/200   | Learning Rate 0.000900
Train Auc.: 0.9364 | Test Auc.: 0.9340
Train Loss.: 0.2075 | Test Loss.: 0.2073
Train Acc.: 0.5961 | Test Acc.: 0.5970
Epoch: 114/200   | Learning Rate 0.000900
Train Auc.: 0.9364 | Test Auc.: 0.9343
Train Loss.: 0.2307 | Test Loss.: 0.2297
Train Acc.: 0.6188 | Test Acc.: 0.6191
Epoch: 115/200   | Learning Rate 0.000900
Train Auc.: 0.9243 | Test Auc.: 0.9181
Train Loss.: 0.1560 | Test Loss.: 0.1584
Train Acc.: 0.7605 | Test Acc.: 0.7569
Epoch: 116/200   | Learning Rate 0.000900
Train Auc.: 0.9293 | Test Auc.: 0.9256
Train Loss.: 0.1442 | Test Loss.: 0.1463
Train Acc.: 0.7934 | Test Acc.: 0.7917
Epoch: 117/200   | Learning Rate 0.000900
Train Auc.: 0.9428 | Test Auc.: 0.9404
Train Loss.: 0.2698 | Test Loss.: 0.2691
Train Acc.: 0.6162 | Test Acc.: 0.6125
Epoch: 118/200   | Learning Rate 0.000900
Train Auc.: 0.9145 | Test Auc.: 0.9080
Train Loss.: 0.1661 | Test Loss.: 0.1709
Train Acc.: 0.7697 | Test Acc.: 0.7640
Epoch: 119/200   | Learning Rate 0.000900
Train Auc.: 0.9063 | Test Auc.: 0.9062
Train Loss.: 0.1625 | Test Loss.: 0.1639
Train Acc.: 0.7771 | Test Acc.: 0.7718
Epoch: 120/200   | Learning Rate 0.000900
