Train Auc.: 0.9356 | Test Auc.: 0.9347
Train Loss.: 0.1152 | Test Loss.: 0.1163
Train Acc.: 0.8477 | Test Acc.: 0.8495
Epoch: 082/200   | Learning Rate 0.001000
Train Auc.: 0.9411 | Test Auc.: 0.9355
Train Loss.: 0.1109 | Test Loss.: 0.1151
Train Acc.: 0.8564 | Test Acc.: 0.8515
Epoch: 083/200   | Learning Rate 0.001000
Train Auc.: 0.9390 | Test Auc.: 0.9372
Train Loss.: 0.1079 | Test Loss.: 0.1092
Train Acc.: 0.8580 | Test Acc.: 0.8566
Epoch: 084/200   | Learning Rate 0.001000
Train Auc.: 0.9375 | Test Auc.: 0.9366
Train Loss.: 0.1085 | Test Loss.: 0.1094
Train Acc.: 0.8613 | Test Acc.: 0.8624
Epoch: 085/200   | Learning Rate 0.001000
Train Auc.: 0.9370 | Test Auc.: 0.9330
Train Loss.: 0.1088 | Test Loss.: 0.1114
Train Acc.: 0.8598 | Test Acc.: 0.8573
Epoch: 086/200   | Learning Rate 0.001000
Train Auc.: 0.9384 | Test Auc.: 0.9380
Train Loss.: 0.1073 | Test Loss.: 0.1074
Train Acc.: 0.8617 | Test Acc.: 0.8591
Epoch: 087/200   | Learning Rate 0.001000
Train Auc.: 0.9348 | Test Auc.: 0.9347
Train Loss.: 0.1124 | Test Loss.: 0.1136
Train Acc.: 0.8541 | Test Acc.: 0.8555
Epoch: 088/200   | Learning Rate 0.001000
Train Auc.: 0.9369 | Test Auc.: 0.9332
Train Loss.: 0.1129 | Test Loss.: 0.1158
Train Acc.: 0.8592 | Test Acc.: 0.8537
Epoch: 089/200   | Learning Rate 0.001000
Train Auc.: 0.9431 | Test Auc.: 0.9387
Train Loss.: 0.1061 | Test Loss.: 0.1093
Train Acc.: 0.8669 | Test Acc.: 0.8670
Epoch: 090/200   | Learning Rate 0.001000
Train Auc.: 0.9406 | Test Auc.: 0.9388
Train Loss.: 0.1130 | Test Loss.: 0.1147
Train Acc.: 0.8610 | Test Acc.: 0.8573
Epoch: 091/200   | Learning Rate 0.001000
Train Auc.: 0.9378 | Test Auc.: 0.9405
Train Loss.: 0.1099 | Test Loss.: 0.1080
Train Acc.: 0.8627 | Test Acc.: 0.8665
Epoch: 092/200   | Learning Rate 0.001000
Train Auc.: 0.9389 | Test Auc.: 0.9347
Train Loss.: 0.1156 | Test Loss.: 0.1180
Train Acc.: 0.8573 | Test Acc.: 0.8514
Epoch: 093/200   | Learning Rate 0.001000
Train Auc.: 0.9397 | Test Auc.: 0.9401
Train Loss.: 0.1067 | Test Loss.: 0.1065
Train Acc.: 0.8667 | Test Acc.: 0.8634
Epoch: 094/200   | Learning Rate 0.001000
Train Auc.: 0.9379 | Test Auc.: 0.9366
Train Loss.: 0.1100 | Test Loss.: 0.1109
Train Acc.: 0.8545 | Test Acc.: 0.8551
Epoch: 095/200   | Learning Rate 0.001000
Train Auc.: 0.9419 | Test Auc.: 0.9378
Train Loss.: 0.1148 | Test Loss.: 0.1175
Train Acc.: 0.8487 | Test Acc.: 0.8413
Epoch: 096/200   | Learning Rate 0.001000
Train Auc.: 0.9359 | Test Auc.: 0.9340
Train Loss.: 0.1107 | Test Loss.: 0.1123
Train Acc.: 0.8547 | Test Acc.: 0.8533
Epoch: 097/200   | Learning Rate 0.001000
Train Auc.: 0.9401 | Test Auc.: 0.9385
Train Loss.: 0.1086 | Test Loss.: 0.1098
Train Acc.: 0.8615 | Test Acc.: 0.8607
Epoch: 098/200   | Learning Rate 0.001000
Train Auc.: 0.9385 | Test Auc.: 0.9355
Train Loss.: 0.1083 | Test Loss.: 0.1105
Train Acc.: 0.8642 | Test Acc.: 0.8601
Epoch: 099/200   | Learning Rate 0.001000
Train Auc.: 0.9409 | Test Auc.: 0.9402
Train Loss.: 0.1051 | Test Loss.: 0.1059
Train Acc.: 0.8659 | Test Acc.: 0.8673
Epoch: 100/200   | Learning Rate 0.001000
Train Auc.: 0.9402 | Test Auc.: 0.9385
Train Loss.: 0.1093 | Test Loss.: 0.1104
Train Acc.: 0.8623 | Test Acc.: 0.8634
Epoch: 101/200   | Learning Rate 0.000900
Train Auc.: 0.9411 | Test Auc.: 0.9405
Train Loss.: 0.1056 | Test Loss.: 0.1061
Train Acc.: 0.8650 | Test Acc.: 0.8698
Epoch: 102/200   | Learning Rate 0.000900
Train Auc.: 0.9401 | Test Auc.: 0.9362
Train Loss.: 0.1070 | Test Loss.: 0.1097
Train Acc.: 0.8670 | Test Acc.: 0.8596
Epoch: 103/200   | Learning Rate 0.000900
Train Auc.: 0.9387 | Test Auc.: 0.9366
Train Loss.: 0.1068 | Test Loss.: 0.1085
Train Acc.: 0.8610 | Test Acc.: 0.8573
Epoch: 104/200   | Learning Rate 0.000900
Train Auc.: 0.9384 | Test Auc.: 0.9348
Train Loss.: 0.1085 | Test Loss.: 0.1105
Train Acc.: 0.8636 | Test Acc.: 0.8598
Epoch: 105/200   | Learning Rate 0.000900
Train Auc.: 0.9419 | Test Auc.: 0.9399
Train Loss.: 0.1059 | Test Loss.: 0.1071
Train Acc.: 0.8680 | Test Acc.: 0.8621
Epoch: 106/200   | Learning Rate 0.000900
Train Auc.: 0.9428 | Test Auc.: 0.9418
Train Loss.: 0.1040 | Test Loss.: 0.1047
Train Acc.: 0.8683 | Test Acc.: 0.8678
Epoch: 107/200   | Learning Rate 0.000900
Train Auc.: 0.9365 | Test Auc.: 0.9348
Train Loss.: 0.1115 | Test Loss.: 0.1118
Train Acc.: 0.8572 | Test Acc.: 0.8584
Epoch: 108/200   | Learning Rate 0.000900
Train Auc.: 0.9385 | Test Auc.: 0.9355
Train Loss.: 0.1079 | Test Loss.: 0.1097
Train Acc.: 0.8623 | Test Acc.: 0.8589
Epoch: 109/200   | Learning Rate 0.000900
Train Auc.: 0.9401 | Test Auc.: 0.9411
Train Loss.: 0.1056 | Test Loss.: 0.1051
Train Acc.: 0.8635 | Test Acc.: 0.8658
Epoch: 110/200   | Learning Rate 0.000900
Train Auc.: 0.9405 | Test Auc.: 0.9412
Train Loss.: 0.1067 | Test Loss.: 0.1061
Train Acc.: 0.8606 | Test Acc.: 0.8609
Epoch: 111/200   | Learning Rate 0.000900
Train Auc.: 0.9407 | Test Auc.: 0.9395
Train Loss.: 0.1059 | Test Loss.: 0.1065
Train Acc.: 0.8650 | Test Acc.: 0.8624
Epoch: 112/200   | Learning Rate 0.000900
Train Auc.: 0.9421 | Test Auc.: 0.9387
Train Loss.: 0.1061 | Test Loss.: 0.1083
Train Acc.: 0.8613 | Test Acc.: 0.8581
Epoch: 113/200   | Learning Rate 0.000900
Train Auc.: 0.9389 | Test Auc.: 0.9400
Train Loss.: 0.1086 | Test Loss.: 0.1073
Train Acc.: 0.8592 | Test Acc.: 0.8619
Epoch: 114/200   | Learning Rate 0.000900
Train Auc.: 0.9398 | Test Auc.: 0.9399
Train Loss.: 0.1068 | Test Loss.: 0.1068
Train Acc.: 0.8593 | Test Acc.: 0.8596
Epoch: 115/200   | Learning Rate 0.000900
Train Auc.: 0.9408 | Test Auc.: 0.9380
Train Loss.: 0.1063 | Test Loss.: 0.1081
Train Acc.: 0.8663 | Test Acc.: 0.8639
Epoch: 116/200   | Learning Rate 0.000900
Train Auc.: 0.9407 | Test Auc.: 0.9366
Train Loss.: 0.1118 | Test Loss.: 0.1146
Train Acc.: 0.8624 | Test Acc.: 0.8550
Epoch: 117/200   | Learning Rate 0.000900
Train Auc.: 0.9410 | Test Auc.: 0.9398
Train Loss.: 0.1081 | Test Loss.: 0.1085
Train Acc.: 0.8690 | Test Acc.: 0.8647
Epoch: 118/200   | Learning Rate 0.000900
Train Auc.: 0.9408 | Test Auc.: 0.9387
Train Loss.: 0.1095 | Test Loss.: 0.1109
Train Acc.: 0.8638 | Test Acc.: 0.8621
Epoch: 119/200   | Learning Rate 0.000900
Train Auc.: 0.9386 | Test Auc.: 0.9376
Train Loss.: 0.1079 | Test Loss.: 0.1086
Train Acc.: 0.8605 | Test Acc.: 0.8576
Epoch: 120/200   | Learning Rate 0.000900
Train Auc.: 0.9419 | Test Auc.: 0.9396
Train Loss.: 0.1045 | Test Loss.: 0.1061
Train Acc.: 0.8676 | Test Acc.: 0.8634
Epoch: 121/200   | Learning Rate 0.000900
Train Auc.: 0.9414 | Test Auc.: 0.9402
Train Loss.: 0.1074 | Test Loss.: 0.1087
Train Acc.: 0.8686 | Test Acc.: 0.8665
Epoch: 122/200   | Learning Rate 0.000900
Train Auc.: 0.9419 | Test Auc.: 0.9402
Train Loss.: 0.1086 | Test Loss.: 0.1096
Train Acc.: 0.8570 | Test Acc.: 0.8573
Epoch: 123/200   | Learning Rate 0.000900
Train Auc.: 0.9399 | Test Auc.: 0.9379
Train Loss.: 0.1068 | Test Loss.: 0.1084
Train Acc.: 0.8604 | Test Acc.: 0.8619
Epoch: 124/200   | Learning Rate 0.000900
Train Auc.: 0.9399 | Test Auc.: 0.9381
Train Loss.: 0.1085 | Test Loss.: 0.1094
Train Acc.: 0.8567 | Test Acc.: 0.8532
Epoch: 125/200   | Learning Rate 0.000900
Train Auc.: 0.9415 | Test Auc.: 0.9417
Train Loss.: 0.1059 | Test Loss.: 0.1055
Train Acc.: 0.8630 | Test Acc.: 0.8653
Epoch: 126/200   | Learning Rate 0.000900
Train Auc.: 0.9369 | Test Auc.: 0.9359
Train Loss.: 0.1092 | Test Loss.: 0.1099
Train Acc.: 0.8601 | Test Acc.: 0.8611
Epoch: 127/200   | Learning Rate 0.000900
Train Auc.: 0.9420 | Test Auc.: 0.9398
Train Loss.: 0.1064 | Test Loss.: 0.1084
Train Acc.: 0.8632 | Test Acc.: 0.8588
Epoch: 128/200   | Learning Rate 0.000900
Train Auc.: 0.9441 | Test Auc.: 0.9443
Train Loss.: 0.1028 | Test Loss.: 0.1030
Train Acc.: 0.8694 | Test Acc.: 0.8680
Epoch: 129/200   | Learning Rate 0.000900
Train Auc.: 0.9441 | Test Auc.: 0.9437
Train Loss.: 0.1044 | Test Loss.: 0.1051
Train Acc.: 0.8709 | Test Acc.: 0.8680
Epoch: 130/200   | Learning Rate 0.000900
Train Auc.: 0.9416 | Test Auc.: 0.9424
Train Loss.: 0.1066 | Test Loss.: 0.1065
Train Acc.: 0.8671 | Test Acc.: 0.8688
Epoch: 131/200   | Learning Rate 0.000900
